Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [0.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/1_naislstm_GELU
No model checkpoint file found in saved_models/1_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/1_naislstm_GELU
Training started at 2025-07-01 23:06:26
Logging training to saved_models/1_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
   14650 |   1.95e+05 |   7.44e+02 |   2.99e+06 |   4.61e+04 |   1.01e+05 |    2.02e+03 |    5.72e+04 |    2.78e+02 |   2.04e-03 |   2.99e-01 |     18268.29 |   156.87 |  4519m 10s | Model saved         
   14700 |   1.91e+05 |   7.33e+02 |   2.71e+06 |   4.48e+04 |   9.84e+04 |    1.99e+03 |    5.58e+04 |    2.51e+02 |   2.04e-03 |   2.99e-01 |     18268.29 |   143.97 |  4478m 05s | Model saved         
   14750 |   1.95e+05 |   7.44e+02 |   2.99e+06 |   4.59e+04 |   1.01e+05 |    2.02e+03 |    5.80e+04 |    2.78e+02 |   1.94e-03 |   2.99e-01 |     18268.29 |   159.14 |  4479m 22s | Model saved         
   14800 |   1.91e+05 |   7.19e+02 |   2.70e+06 |   4.47e+04 |   9.80e+04 |    1.98e+03 |    5.55e+04 |    2.50e+02 |   1.94e-03 |   2.99e-01 |     18268.29 |   143.45 |  4445m 45s | Model saved         
   14850 |   1.95e+05 |   7.39e+02 |   2.98e+06 |   4.59e+04 |   1.01e+05 |    2.01e+03 |    5.69e+04 |    2.77e+02 |   1.94e-03 |   2.99e-01 |     18268.29 |   157.28 |  4444m 39s | Model saved         
   14900 |   1.90e+05 |   7.15e+02 |   2.70e+06 |   4.50e+04 |   9.78e+04 |    1.98e+03 |    5.53e+04 |    2.50e+02 |   1.94e-03 |   2.99e-01 |     18268.29 |   143.26 |  4416m 49s | Model saved         
   14950 |   1.95e+05 |   7.31e+02 |   2.97e+06 |   4.60e+04 |   1.00e+05 |    2.01e+03 |    5.68e+04 |    2.77e+02 |   1.94e-03 |   2.99e-01 |     18268.29 |   157.33 |  4417m 05s | Model saved         
   15000 |   1.91e+05 |   7.23e+02 |   2.70e+06 |   4.51e+04 |   9.77e+04 |    1.98e+03 |    5.56e+04 |    2.50e+02 |   1.94e-03 |   2.84e-01 |     18268.29 |   143.18 |  4393m 27s | Model saved         
   15050 |   1.95e+05 |   7.47e+02 |   2.99e+06 |   4.67e+04 |   1.01e+05 |    2.01e+03 |    5.72e+04 |    2.78e+02 |   1.84e-03 |   2.84e-01 |     18268.29 |   161.59 |  4401m 08s | Model saved         
   15100 |   1.90e+05 |   7.16e+02 |   2.69e+06 |   4.60e+04 |   9.71e+04 |    1.97e+03 |    5.53e+04 |    2.49e+02 |   1.84e-03 |   2.84e-01 |     18268.29 |   142.83 |  4379m 47s | Model saved         
   15150 |   1.95e+05 |   7.37e+02 |   2.98e+06 |   4.68e+04 |   1.01e+05 |    2.01e+03 |    5.69e+04 |    2.77e+02 |   1.84e-03 |   2.84e-01 |     18268.29 |   157.17 |  4380m 36s | Model saved         
   15200 |   1.90e+05 |   7.14e+02 |   2.69e+06 |   4.60e+04 |   9.70e+04 |    1.97e+03 |    5.54e+04 |    2.49e+02 |   1.84e-03 |   2.84e-01 |     18268.29 |   142.81 |  4361m 46s | Model saved         
   15250 |   1.94e+05 |   7.33e+02 |   2.97e+06 |   4.67e+04 |   9.97e+04 |    2.00e+03 |    5.68e+04 |    2.77e+02 |   1.75e-03 |   2.84e-01 |     18268.29 |   157.54 |  4363m 20s | Model saved         
   15300 |   1.90e+05 |   7.14e+02 |   2.69e+06 |   4.59e+04 |   9.69e+04 |    1.97e+03 |    5.55e+04 |    2.49e+02 |   1.75e-03 |   2.84e-01 |     18268.29 |   143.67 |  4347m 32s | Model saved         
   15350 |   1.94e+05 |   7.32e+02 |   2.97e+06 |   4.67e+04 |   9.98e+04 |    2.00e+03 |    5.68e+04 |    2.77e+02 |   1.75e-03 |   2.84e-01 |     18268.29 |   156.80 |  4348m 16s | Model saved         
   15400 |   1.90e+05 |   7.11e+02 |   2.69e+06 |   4.61e+04 |   9.65e+04 |    1.96e+03 |    5.54e+04 |    2.49e+02 |   1.75e-03 |   2.84e-01 |     18268.29 |   143.34 |  4333m 34s | Model saved         
   15450 |   1.94e+05 |   7.22e+02 |   2.96e+06 |   4.69e+04 |   9.93e+04 |    1.99e+03 |    5.63e+04 |    2.76e+02 |   1.66e-03 |   2.84e-01 |     18268.29 |   157.59 |  4335m 15s | Model saved         
   15500 |   1.90e+05 |   7.01e+02 |   2.68e+06 |   4.59e+04 |   9.62e+04 |    1.96e+03 |    5.49e+04 |    2.49e+02 |   1.66e-03 |   2.84e-01 |     18268.29 |   143.50 |  4321m 55s | Model saved         
   15550 |   1.94e+05 |   7.18e+02 |   2.96e+06 |   4.69e+04 |   9.91e+04 |    1.99e+03 |    5.64e+04 |    2.76e+02 |   1.66e-03 |   2.84e-01 |     18268.29 |   157.78 |  4323m 43s | Model saved         
   15600 |   1.90e+05 |   7.09e+02 |   2.69e+06 |   4.62e+04 |   9.63e+04 |    1.96e+03 |    5.51e+04 |    2.49e+02 |   1.66e-03 |   2.84e-01 |     18268.29 |   143.36 |  4311m 14s | Model saved         
   15650 |   1.94e+05 |   7.24e+02 |   2.97e+06 |   4.71e+04 |   9.91e+04 |    1.99e+03 |    5.65e+04 |    2.76e+02 |   1.66e-03 |   2.84e-01 |     18268.29 |   189.52 |  4342m 40s | Model saved         
   15700 |   1.90e+05 |   7.01e+02 |   2.68e+06 |   4.62e+04 |   9.57e+04 |    1.95e+03 |    5.49e+04 |    2.49e+02 |   1.66e-03 |   2.84e-01 |     18268.29 |   143.16 |  4329m 52s | Model saved         
   15750 |   1.94e+05 |   7.21e+02 |   2.97e+06 |   4.69e+04 |   9.90e+04 |    1.99e+03 |    5.63e+04 |    2.76e+02 |   1.58e-03 |   2.84e-01 |     18268.29 |   157.59 |  4330m 22s | Model saved         
   15800 |   1.90e+05 |   7.05e+02 |   2.69e+06 |   4.64e+04 |   9.59e+04 |    1.95e+03 |    5.51e+04 |    2.49e+02 |   1.58e-03 |   2.84e-01 |     18268.29 |   143.29 |  4318m 31s | Model saved         
   15850 |   1.93e+05 |   7.15e+02 |   2.96e+06 |   4.68e+04 |   9.84e+04 |    1.98e+03 |    5.64e+04 |    2.76e+02 |   1.58e-03 |   2.84e-01 |     18268.29 |   159.45 |  4320m 34s | Model saved         
   15900 |   1.89e+05 |   6.96e+02 |   2.68e+06 |   4.59e+04 |   9.57e+04 |    1.95e+03 |    5.49e+04 |    2.48e+02 |   1.58e-03 |   2.84e-01 |     18268.29 |   145.81 |  4311m 25s | Model saved         
   15950 |   1.93e+05 |   7.15e+02 |   2.96e+06 |   4.69e+04 |   9.85e+04 |    1.98e+03 |    5.63e+04 |    2.76e+02 |   1.58e-03 |   2.84e-01 |     18268.29 |   158.72 |  4312m 41s | Model saved         
   16000 |   1.90e+05 |   6.99e+02 |   2.68e+06 |   4.62e+04 |   9.56e+04 |    1.95e+03 |    5.49e+04 |    2.48e+02 |   1.58e-03 |   2.70e-01 |     18268.29 |   143.66 |  4302m 20s | Model saved         
   16050 |   1.94e+05 |   7.27e+02 |   2.97e+06 |   4.81e+04 |   9.88e+04 |    1.98e+03 |    5.65e+04 |    2.76e+02 |   1.58e-03 |   2.70e-01 |     18268.29 |   162.70 |  4306m 26s | Model saved         
   16100 |   1.90e+05 |   7.04e+02 |   2.68e+06 |   4.70e+04 |   9.54e+04 |    1.95e+03 |    5.51e+04 |    2.48e+02 |   1.58e-03 |   2.70e-01 |     18268.29 |   143.97 |  4296m 46s | Model saved         
   16150 |   1.94e+05 |   7.27e+02 |   2.97e+06 |   4.78e+04 |   9.87e+04 |    1.98e+03 |    5.63e+04 |    2.76e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   158.05 |  4297m 17s | Model saved         
   16200 |   1.90e+05 |   7.04e+02 |   2.68e+06 |   4.72e+04 |   9.51e+04 |    1.94e+03 |    5.47e+04 |    2.48e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   143.94 |  4288m 02s | Model saved         
   16250 |   1.93e+05 |   7.07e+02 |   2.95e+06 |   4.81e+04 |   9.75e+04 |    1.97e+03 |    5.61e+04 |    2.75e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   157.44 |  4288m 05s | Model saved         
   16300 |   1.90e+05 |   7.00e+02 |   2.68e+06 |   4.69e+04 |   9.52e+04 |    1.94e+03 |    5.52e+04 |    2.48e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   145.16 |  4280m 03s | Model saved         
   16350 |   1.93e+05 |   7.06e+02 |   2.95e+06 |   4.80e+04 |   9.77e+04 |    1.97e+03 |    5.61e+04 |    2.75e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   157.63 |  4280m 10s | Model saved         
   16400 |   1.89e+05 |   7.01e+02 |   2.68e+06 |   4.75e+04 |   9.48e+04 |    1.94e+03 |    5.48e+04 |    2.48e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   143.76 |  4271m 35s | Model saved         
   16450 |   1.93e+05 |   7.11e+02 |   2.96e+06 |   4.82e+04 |   9.78e+04 |    1.97e+03 |    5.63e+04 |    2.75e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   157.52 |  4271m 35s | Model saved         
   16500 |   1.89e+05 |   6.94e+02 |   2.68e+06 |   4.74e+04 |   9.46e+04 |    1.94e+03 |    5.49e+04 |    2.48e+02 |   1.50e-03 |   2.70e-01 |     18268.29 |   144.40 |  4263m 43s | Model saved         
   16550 |   1.93e+05 |   7.09e+02 |   2.96e+06 |   4.82e+04 |   9.77e+04 |    1.97e+03 |    5.60e+04 |    2.75e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   157.85 |  4263m 52s | Model saved         
   16600 |   1.89e+05 |   6.97e+02 |   2.67e+06 |   4.69e+04 |   9.46e+04 |    1.93e+03 |    5.47e+04 |    2.48e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   145.73 |  4257m 01s | Model saved         
   16650 |   1.93e+05 |   7.13e+02 |   2.95e+06 |   4.82e+04 |   9.73e+04 |    1.96e+03 |    5.62e+04 |    2.75e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   158.28 |  4257m 20s | Model saved         
   16700 |   1.89e+05 |   6.91e+02 |   2.67e+06 |   4.74e+04 |   9.46e+04 |    1.93e+03 |    5.46e+04 |    2.47e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   143.87 |  4249m 41s | Model saved         
   16750 |   1.93e+05 |   7.11e+02 |   2.96e+06 |   4.83e+04 |   9.74e+04 |    1.96e+03 |    5.63e+04 |    2.75e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   158.27 |  4249m 55s | Model saved         
   16800 |   1.89e+05 |   6.95e+02 |   2.67e+06 |   4.77e+04 |   9.45e+04 |    1.93e+03 |    5.45e+04 |    2.47e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   143.97 |  4242m 33s | Model saved         
   16850 |   1.92e+05 |   6.98e+02 |   2.95e+06 |   4.82e+04 |   9.69e+04 |    1.96e+03 |    5.58e+04 |    2.74e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   157.95 |  4242m 34s | Model saved         
   16900 |   1.89e+05 |   6.92e+02 |   2.67e+06 |   4.75e+04 |   9.41e+04 |    1.93e+03 |    5.45e+04 |    2.48e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   144.21 |  4235m 33s | Model saved         
   16950 |   1.92e+05 |   7.04e+02 |   2.95e+06 |   4.77e+04 |   9.71e+04 |    1.96e+03 |    5.59e+04 |    2.75e+02 |   1.42e-03 |   2.70e-01 |     18268.29 |   158.26 |  4235m 39s | Model saved         
   17000 |   1.89e+05 |   6.90e+02 |   2.67e+06 |   4.75e+04 |   9.42e+04 |    1.93e+03 |    5.45e+04 |    2.47e+02 |   1.42e-03 |   2.56e-01 |     18268.29 |   144.43 |  4228m 56s | Model saved         
   17050 |   1.92e+05 |   7.13e+02 |   2.95e+06 |   4.90e+04 |   9.68e+04 |    1.95e+03 |    5.63e+04 |    2.75e+02 |   1.42e-03 |   2.56e-01 |     18268.29 |   162.67 |  4231m 04s | Model saved         
   17100 |   1.89e+05 |   6.95e+02 |   2.67e+06 |   4.85e+04 |   9.41e+04 |    1.93e+03 |    5.47e+04 |    2.47e+02 |   1.42e-03 |   2.56e-01 |     18268.29 |   145.33 |  4224m 55s | Model saved         
   17150 |   1.93e+05 |   7.22e+02 |   2.96e+06 |   4.92e+04 |   9.71e+04 |    1.96e+03 |    5.64e+04 |    2.75e+02 |   1.35e-03 |   2.56e-01 |     18268.29 |   159.19 |  4225m 16s | Model saved         
   17200 |   1.90e+05 |   7.03e+02 |   2.68e+06 |   4.88e+04 |   9.42e+04 |    1.93e+03 |    5.46e+04 |    2.48e+02 |   1.35e-03 |   2.56e-01 |     18268.29 |   144.53 |  4218m 53s | Model saved         
   17250 |   1.92e+05 |   7.13e+02 |   2.95e+06 |   4.90e+04 |   9.66e+04 |    1.95e+03 |    5.62e+04 |    2.75e+02 |   1.35e-03 |   2.56e-01 |     18268.29 |   158.01 |  4218m 38s | Model saved         
   17300 |   1.89e+05 |   6.95e+02 |   2.67e+06 |   4.86e+04 |   9.41e+04 |    1.93e+03 |    5.42e+04 |    2.47e+02 |   1.35e-03 |   2.56e-01 |     18268.29 |   144.08 |  4212m 12s | Model saved         
   17350 |   1.92e+05 |   7.06e+02 |   2.95e+06 |   4.88e+04 |   9.64e+04 |    1.95e+03 |    5.58e+04 |    2.74e+02 |   1.29e-03 |   2.56e-01 |     18268.29 |   158.52 |  4212m 07s | Model saved         
   17400 |   1.89e+05 |   6.93e+02 |   2.67e+06 |   4.89e+04 |   9.41e+04 |    1.93e+03 |    5.38e+04 |    2.47e+02 |   1.29e-03 |   2.56e-01 |     18268.29 |   144.05 |  4205m 50s | Model saved         
   17450 |   1.92e+05 |   7.01e+02 |   2.94e+06 |   4.92e+04 |   9.62e+04 |    1.94e+03 |    5.56e+04 |    2.74e+02 |   1.29e-03 |   2.56e-01 |     18268.29 |   158.66 |  4205m 45s | Model saved         
   17500 |   1.89e+05 |   6.94e+02 |   2.67e+06 |   4.82e+04 |   9.35e+04 |    1.92e+03 |    5.43e+04 |    2.47e+02 |   1.29e-03 |   2.56e-01 |     18268.29 |   143.91 |  4199m 32s | Model saved         
   17550 |   1.92e+05 |   7.04e+02 |   2.95e+06 |   4.92e+04 |   9.59e+04 |    1.94e+03 |    5.58e+04 |    2.74e+02 |   1.22e-03 |   2.56e-01 |     18268.29 |   158.56 |  4199m 21s | Model saved         
   17600 |   1.89e+05 |   6.96e+02 |   2.67e+06 |   4.88e+04 |   9.37e+04 |    1.92e+03 |    5.39e+04 |    2.47e+02 |   1.22e-03 |   2.56e-01 |     18268.29 |   144.01 |  4193m 18s | Model saved         
   17650 |   1.92e+05 |   6.98e+02 |   2.94e+06 |   4.93e+04 |   9.59e+04 |    1.94e+03 |    5.53e+04 |    2.74e+02 |   1.22e-03 |   2.56e-01 |     18268.29 |   158.53 |  4193m 03s | Model saved         
   17700 |   1.90e+05 |   7.16e+02 |   2.69e+06 |   4.89e+04 |   9.42e+04 |    1.93e+03 |    5.48e+04 |    2.49e+02 |   1.22e-03 |   2.56e-01 |     18268.29 |   145.02 |  4187m 32s | Model saved         
   17750 |   1.91e+05 |   6.98e+02 |   2.94e+06 |   4.96e+04 |   9.56e+04 |    1.94e+03 |    5.55e+04 |    2.74e+02 |   1.16e-03 |   2.56e-01 |     18268.29 |   158.17 |  4187m 05s | Model saved         
   17800 |   1.89e+05 |   6.90e+02 |   2.67e+06 |   4.88e+04 |   9.36e+04 |    1.92e+03 |    5.39e+04 |    2.47e+02 |   1.16e-03 |   2.56e-01 |     18268.29 |   144.51 |  4181m 28s | Model saved         
   17850 |   1.92e+05 |   6.99e+02 |   2.94e+06 |   4.88e+04 |   9.56e+04 |    1.94e+03 |    5.53e+04 |    2.74e+02 |   1.16e-03 |   2.56e-01 |     18268.29 |   158.86 |  4181m 14s | Model saved         
   17900 |   1.89e+05 |   6.99e+02 |   2.67e+06 |   4.88e+04 |   9.37e+04 |    1.92e+03 |    5.37e+04 |    2.47e+02 |   1.16e-03 |   2.56e-01 |     18268.29 |   143.55 |  4175m 21s | Model saved         
   17950 |   1.91e+05 |   6.98e+02 |   2.94e+06 |   4.93e+04 |   9.53e+04 |    1.94e+03 |    5.52e+04 |    2.74e+02 |   1.10e-03 |   2.56e-01 |     18268.29 |   158.36 |  4174m 53s | Model saved         
   18000 |   1.89e+05 |   6.90e+02 |   2.67e+06 |   4.88e+04 |   9.34e+04 |    1.92e+03 |    5.35e+04 |    2.47e+02 |   1.10e-03 |   2.44e-01 |     18268.29 |   144.54 |  4169m 28s | Model saved         
   18050 |   1.91e+05 |   7.02e+02 |   2.94e+06 |   5.00e+04 |   9.51e+04 |    1.93e+03 |    5.55e+04 |    2.74e+02 |   1.10e-03 |   2.44e-01 |     18268.29 |   162.57 |  4170m 26s | Model saved         
   18100 |   1.89e+05 |   6.99e+02 |   2.67e+06 |   4.95e+04 |   9.34e+04 |    1.91e+03 |    5.41e+04 |    2.47e+02 |   1.10e-03 |   2.44e-01 |     18268.29 |   144.95 |  4165m 14s | Model saved         
   18150 |   1.91e+05 |   7.00e+02 |   2.94e+06 |   5.02e+04 |   9.51e+04 |    1.94e+03 |    5.52e+04 |    2.74e+02 |   1.05e-03 |   2.44e-01 |     18268.29 |   158.22 |  4164m 37s | Model saved         
   18200 |   1.90e+05 |   7.09e+02 |   2.68e+06 |   4.95e+04 |   9.38e+04 |    1.92e+03 |    5.42e+04 |    2.48e+02 |   1.05e-03 |   2.44e-01 |     18268.29 |   144.60 |  4159m 21s | Model saved         
   18250 |   1.91e+05 |   7.02e+02 |   2.94e+06 |   4.99e+04 |   9.51e+04 |    1.94e+03 |    5.52e+04 |    2.74e+02 |   1.05e-03 |   2.44e-01 |     18268.29 |   158.11 |  4158m 40s | Model saved         
   18300 |   1.90e+05 |   7.27e+02 |   2.69e+06 |   5.01e+04 |   9.41e+04 |    1.92e+03 |    5.47e+04 |    2.49e+02 |   1.05e-03 |   2.44e-01 |     18268.29 |   145.45 |  4153m 46s | Model saved         
   18350 |   1.91e+05 |   6.99e+02 |   2.94e+06 |   5.08e+04 |   9.52e+04 |    1.93e+03 |    5.50e+04 |    2.73e+02 |   9.94e-04 |   2.44e-01 |     18268.29 |   158.43 |  4153m 09s | Model saved         
   18400 |   1.89e+05 |   7.00e+02 |   2.68e+06 |   5.03e+04 |   9.35e+04 |    1.91e+03 |    5.37e+04 |    2.48e+02 |   9.94e-04 |   2.44e-01 |     18268.29 |   144.89 |  4148m 08s | Model saved         
   18450 |   1.91e+05 |   7.01e+02 |   2.94e+06 |   5.01e+04 |   9.51e+04 |    1.93e+03 |    5.54e+04 |    2.74e+02 |   9.94e-04 |   2.44e-01 |     18268.29 |   158.88 |  4147m 37s | Model saved         
   18500 |   1.90e+05 |   7.13e+02 |   2.68e+06 |   5.06e+04 |   9.37e+04 |    1.92e+03 |    5.39e+04 |    2.48e+02 |   9.94e-04 |   2.44e-01 |     18268.29 |   145.80 |  4142m 57s | Model saved         
   18550 |   1.91e+05 |   6.93e+02 |   2.94e+06 |   5.07e+04 |   9.53e+04 |    1.94e+03 |    5.49e+04 |    2.73e+02 |   9.45e-04 |   2.44e-01 |     18268.29 |   158.55 |  4142m 17s | Model saved         
   18600 |   1.90e+05 |   7.08e+02 |   2.68e+06 |   5.09e+04 |   9.41e+04 |    1.92e+03 |    5.38e+04 |    2.48e+02 |   9.45e-04 |   2.44e-01 |     18268.29 |   145.11 |  4137m 28s | Model saved         
   18650 |   1.91e+05 |   7.02e+02 |   2.94e+06 |   5.06e+04 |   9.53e+04 |    1.94e+03 |    5.53e+04 |    2.74e+02 |   9.45e-04 |   2.44e-01 |     18268.29 |   158.06 |  4136m 36s | Model saved         
   18700 |   1.90e+05 |   7.06e+02 |   2.68e+06 |   5.06e+04 |   9.38e+04 |    1.92e+03 |    5.39e+04 |    2.48e+02 |   9.45e-04 |   2.44e-01 |     18268.29 |   145.02 |  4131m 49s | Model saved         
   18750 |   1.91e+05 |   7.02e+02 |   2.94e+06 |   5.10e+04 |   9.48e+04 |    1.93e+03 |    5.51e+04 |    2.73e+02 |   8.97e-04 |   2.44e-01 |     18268.29 |   157.40 |  4130m 44s | Model saved         
   18800 |   1.89e+05 |   6.94e+02 |   2.67e+06 |   5.05e+04 |   9.33e+04 |    1.91e+03 |    5.35e+04 |    2.47e+02 |   8.97e-04 |   2.44e-01 |     18268.29 |   145.21 |  4126m 03s | Model saved         
   18850 |   1.91e+05 |   6.92e+02 |   2.93e+06 |   5.06e+04 |   9.48e+04 |    1.93e+03 |    5.50e+04 |    2.73e+02 |   8.97e-04 |   2.44e-01 |     18268.29 |   158.83 |  4125m 21s | Model saved         
   18900 |   1.89e+05 |   6.94e+02 |   2.67e+06 |   5.00e+04 |   9.35e+04 |    1.91e+03 |    5.32e+04 |    2.47e+02 |   8.97e-04 |   2.44e-01 |     18268.29 |   145.42 |  4120m 48s | Model saved         
   18950 |   1.91e+05 |   6.92e+02 |   2.93e+06 |   5.06e+04 |   9.45e+04 |    1.92e+03 |    5.49e+04 |    2.73e+02 |   8.53e-04 |   2.44e-01 |     18268.29 |   158.39 |  4119m 56s | Model saved         
   19000 |   1.89e+05 |   6.82e+02 |   2.67e+06 |   5.06e+04 |   9.32e+04 |    1.91e+03 |    5.30e+04 |    2.47e+02 |   8.53e-04 |   2.31e-01 |     18268.29 |   145.01 |  4115m 18s | Model saved         
   19050 |   1.91e+05 |   6.98e+02 |   2.94e+06 |   5.19e+04 |   9.42e+04 |    1.92e+03 |    5.53e+04 |    2.73e+02 |   8.53e-04 |   2.31e-01 |     18268.29 |   163.34 |  4115m 46s | Model saved         
   19100 |   1.89e+05 |   6.89e+02 |   2.67e+06 |   5.12e+04 |   9.30e+04 |    1.91e+03 |    5.32e+04 |    2.47e+02 |   8.53e-04 |   2.31e-01 |     18268.29 |   144.89 |  4111m 09s | Model saved         
   19150 |   1.91e+05 |   6.98e+02 |   2.94e+06 |   5.18e+04 |   9.43e+04 |    1.92e+03 |    5.51e+04 |    2.73e+02 |   8.10e-04 |   2.31e-01 |     18268.29 |   159.13 |  4110m 25s | Model saved         
   19200 |   1.89e+05 |   6.89e+02 |   2.67e+06 |   5.09e+04 |   9.28e+04 |    1.90e+03 |    5.33e+04 |    2.47e+02 |   8.10e-04 |   2.31e-01 |     18268.29 |   145.45 |  4105m 59s | Model saved         
   19250 |   1.91e+05 |   6.92e+02 |   2.93e+06 |   5.15e+04 |   9.39e+04 |    1.92e+03 |    5.51e+04 |    2.73e+02 |   8.10e-04 |   2.31e-01 |     18268.29 |   163.27 |  4106m 18s | Model saved         
   19300 |   1.89e+05 |   6.81e+02 |   2.66e+06 |   5.12e+04 |   9.28e+04 |    1.90e+03 |    5.29e+04 |    2.47e+02 |   8.10e-04 |   2.31e-01 |     18268.29 |   145.10 |  4101m 48s | Model saved         
   19350 |   1.90e+05 |   6.85e+02 |   2.93e+06 |   5.17e+04 |   9.37e+04 |    1.91e+03 |    5.47e+04 |    2.73e+02 |   7.69e-04 |   2.31e-01 |     18268.29 |   158.60 |  4100m 51s | Model saved         
   19400 |   1.89e+05 |   6.83e+02 |   2.67e+06 |   5.17e+04 |   9.25e+04 |    1.90e+03 |    5.31e+04 |    2.47e+02 |   7.69e-04 |   2.31e-01 |     18268.29 |   145.17 |  4096m 25s | Model saved         
   19450 |   1.90e+05 |   6.78e+02 |   2.93e+06 |   5.14e+04 |   9.34e+04 |    1.91e+03 |    5.45e+04 |    2.72e+02 |   7.69e-04 |   2.31e-01 |     18268.29 |   159.39 |  4095m 38s | Model saved         
   19500 |   1.89e+05 |   6.87e+02 |   2.67e+06 |   5.08e+04 |   9.27e+04 |    1.90e+03 |    5.32e+04 |    2.47e+02 |   7.69e-04 |   2.31e-01 |     18268.29 |   146.53 |  4091m 35s | Model saved         
   19550 |   1.91e+05 |   6.92e+02 |   2.93e+06 |   5.15e+04 |   9.34e+04 |    1.91e+03 |    5.51e+04 |    2.73e+02 |   7.31e-04 |   2.31e-01 |     18268.29 |   199.23 |  4100m 39s | Model saved         
   19600 |   1.89e+05 |   6.84e+02 |   2.67e+06 |   5.10e+04 |   9.28e+04 |    1.90e+03 |    5.28e+04 |    2.47e+02 |   7.31e-04 |   2.31e-01 |     18268.29 |   146.97 |  4096m 38s | Model saved         
   19650 |   1.90e+05 |   6.77e+02 |   2.93e+06 |   5.11e+04 |   9.33e+04 |    1.91e+03 |    5.45e+04 |    2.73e+02 |   7.31e-04 |   2.31e-01 |     18268.29 |   160.84 |  4096m 02s | Model saved         
   19700 |   1.89e+05 |   6.87e+02 |   2.67e+06 |   5.12e+04 |   9.27e+04 |    1.90e+03 |    5.29e+04 |    2.47e+02 |   7.31e-04 |   2.31e-01 |     18268.29 |   147.44 |  4092m 10s | Model saved         
   19750 |   1.90e+05 |   6.74e+02 |   2.92e+06 |   5.13e+04 |   9.31e+04 |    1.91e+03 |    5.43e+04 |    2.72e+02 |   6.94e-04 |   2.31e-01 |     18268.29 |   164.66 |  4092m 26s | Model saved         
   19800 |   1.89e+05 |   6.81e+02 |   2.66e+06 |   5.14e+04 |   9.25e+04 |    1.90e+03 |    5.28e+04 |    2.47e+02 |   6.94e-04 |   2.31e-01 |     18268.29 |   150.40 |  4089m 16s | Model saved         
   19850 |   1.90e+05 |   6.74e+02 |   2.92e+06 |   5.16e+04 |   9.31e+04 |    1.91e+03 |    5.42e+04 |    2.72e+02 |   6.94e-04 |   2.31e-01 |     18268.29 |   162.55 |  4088m 58s | Model saved         
   19900 |   1.89e+05 |   6.74e+02 |   2.66e+06 |   5.08e+04 |   9.24e+04 |    1.90e+03 |    5.26e+04 |    2.46e+02 |   6.94e-04 |   2.31e-01 |     18268.29 |   147.25 |  4085m 04s | Model saved         
   19950 |   1.90e+05 |   6.72e+02 |   2.92e+06 |   5.18e+04 |   9.32e+04 |    1.91e+03 |    5.39e+04 |    2.72e+02 |   6.60e-04 |   2.31e-01 |     18268.29 |   161.77 |  4084m 32s | Model saved         
   20000 |   1.89e+05 |   6.78e+02 |   2.66e+06 |   5.11e+04 |   9.24e+04 |    1.90e+03 |    5.26e+04 |    2.46e+02 |   6.60e-04 |   2.20e-01 |     18268.29 |   147.10 |  4080m 37s | Model saved         
   20050 |   1.90e+05 |   6.77e+02 |   2.92e+06 |   5.29e+04 |   9.31e+04 |    1.91e+03 |    5.42e+04 |    2.72e+02 |   6.60e-04 |   2.20e-01 |     18268.29 |   164.77 |  4080m 43s | Model saved         
