Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [100.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/4_naislstm_GELU
No model checkpoint file found in saved_models/4_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/4_naislstm_GELU
Training started at 2025-07-03 02:57:30
Logging training to saved_models/4_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
    9600 |   3.97e+05 |   7.81e+02 |  -6.52e+07 |   3.24e+04 |   1.54e+05 |    2.88e+03 |    6.46e+04 |   -6.55e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    78.62 |  2576m 27s | Model saved (best)  
    9650 |   4.01e+05 |   7.53e+02 |  -6.50e+07 |   3.24e+04 |   1.55e+05 |    2.90e+03 |    6.49e+04 |   -6.53e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    86.44 |  2575m 10s | Model saved         
    9700 |   3.97e+05 |   7.82e+02 |  -6.52e+07 |   3.27e+04 |   1.53e+05 |    2.87e+03 |    6.35e+04 |   -6.55e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    79.65 |  2572m 50s | Model saved         
    9750 |   3.98e+05 |   7.22e+02 |  -6.51e+07 |   3.19e+04 |   1.52e+05 |    2.86e+03 |    6.49e+04 |   -6.53e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    86.22 |  2571m 32s | Model saved         
    9800 |   3.95e+05 |   7.68e+02 |  -6.52e+07 |   3.27e+04 |   1.51e+05 |    2.85e+03 |    6.38e+04 |   -6.55e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    78.63 |  2569m 03s | Model saved (best)  
    9850 |   3.99e+05 |   7.42e+02 |  -6.51e+07 |   3.30e+04 |   1.51e+05 |    2.85e+03 |    6.44e+04 |   -6.53e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    85.86 |  2567m 42s | Model saved         
    9900 |   3.96e+05 |   7.77e+02 |  -6.52e+07 |   3.21e+04 |   1.51e+05 |    2.84e+03 |    6.37e+04 |   -6.55e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    79.19 |  2565m 19s | Model saved         
    9950 |   3.96e+05 |   7.07e+02 |  -6.51e+07 |   3.21e+04 |   1.50e+05 |    2.83e+03 |    6.40e+04 |   -6.53e+03 |   4.88e-03 |   3.15e-01 |     18268.29 |    85.91 |  2563m 58s | Model saved         
   10000 |   3.93e+05 |   7.38e+02 |  -6.53e+07 |   3.18e+04 |   1.49e+05 |    2.81e+03 |    6.27e+04 |   -6.55e+03 |   4.88e-03 |   2.99e-01 |     18268.29 |    78.94 |  2561m 35s | Model saved (best)  
   10050 |   3.95e+05 |   6.92e+02 |  -6.51e+07 |   3.28e+04 |   1.48e+05 |    2.81e+03 |    6.35e+04 |   -6.53e+03 |   4.88e-03 |   2.99e-01 |     18268.29 |    88.10 |  2560m 33s | Model saved         
   10100 |   3.94e+05 |   7.55e+02 |  -6.53e+07 |   3.25e+04 |   1.48e+05 |    2.80e+03 |    6.30e+04 |   -6.55e+03 |   4.88e-03 |   2.99e-01 |     18268.29 |    79.17 |  2558m 13s | Model saved         
   10150 |   3.96e+05 |   7.07e+02 |  -6.51e+07 |   3.24e+04 |   1.48e+05 |    2.81e+03 |    6.36e+04 |   -6.53e+03 |   4.88e-03 |   2.99e-01 |     18268.29 |    86.00 |  2556m 53s | Model saved         
   10200 |   3.92e+05 |   7.59e+02 |  -6.53e+07 |   3.27e+04 |   1.47e+05 |    2.79e+03 |    6.26e+04 |   -6.55e+03 |   4.88e-03 |   2.99e-01 |     18268.29 |    78.96 |  2554m 31s | Model saved         
   10250 |   3.95e+05 |   7.14e+02 |  -6.51e+07 |   3.27e+04 |   1.47e+05 |    2.79e+03 |    6.45e+04 |   -6.53e+03 |   4.88e-03 |   2.99e-01 |     18268.29 |    86.12 |  2553m 12s | Model saved         
   10300 |   3.95e+05 |   7.90e+02 |  -6.52e+07 |   3.28e+04 |   1.48e+05 |    2.80e+03 |    6.22e+04 |   -6.55e+03 |   4.88e-03 |   2.99e-01 |     18268.29 |    79.60 |  2550m 57s | Model saved         
   10350 |   3.94e+05 |   7.01e+02 |  -6.51e+07 |   3.30e+04 |   1.46e+05 |    2.77e+03 |    6.30e+04 |   -6.53e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    87.17 |  2549m 48s | Model saved         
   10400 |   3.90e+05 |   6.90e+02 |  -6.53e+07 |   3.29e+04 |   1.44e+05 |    2.74e+03 |    6.13e+04 |   -6.55e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    80.15 |  2547m 38s | Model saved (best)  
   10450 |   3.93e+05 |   6.73e+02 |  -6.51e+07 |   3.28e+04 |   1.44e+05 |    2.76e+03 |    6.27e+04 |   -6.54e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    86.54 |  2546m 23s | Model saved         
   10500 |   3.92e+05 |   7.29e+02 |  -6.53e+07 |   3.28e+04 |   1.44e+05 |    2.75e+03 |    6.21e+04 |   -6.55e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    79.60 |  2544m 09s | Model saved         
   10550 |   3.93e+05 |   6.84e+02 |  -6.51e+07 |   3.39e+04 |   1.43e+05 |    2.75e+03 |    6.24e+04 |   -6.54e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    87.06 |  2542m 59s | Model saved         
   10600 |   3.91e+05 |   7.18e+02 |  -6.53e+07 |   3.31e+04 |   1.43e+05 |    2.73e+03 |    6.12e+04 |   -6.55e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    79.48 |  2540m 45s | Model saved         
   10650 |   3.92e+05 |   6.86e+02 |  -6.51e+07 |   3.25e+04 |   1.42e+05 |    2.73e+03 |    6.27e+04 |   -6.54e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    86.50 |  2539m 30s | Model saved         
   10700 |   3.90e+05 |   7.04e+02 |  -6.53e+07 |   3.27e+04 |   1.42e+05 |    2.72e+03 |    6.08e+04 |   -6.55e+03 |   4.63e-03 |   2.99e-01 |     18268.29 |    79.41 |  2537m 16s | Model saved         
   10750 |   3.91e+05 |   6.49e+02 |  -6.51e+07 |   3.24e+04 |   1.41e+05 |    2.71e+03 |    6.18e+04 |   -6.54e+03 |   4.40e-03 |   2.99e-01 |     18268.29 |    86.27 |  2535m 59s | Model saved         
   10800 |   3.88e+05 |   6.69e+02 |  -6.53e+07 |   3.35e+04 |   1.39e+05 |    2.68e+03 |    6.06e+04 |   -6.56e+03 |   4.40e-03 |   2.99e-01 |     18268.29 |    79.53 |  2533m 47s | Model saved (best)  
   10850 |   3.91e+05 |   6.51e+02 |  -6.51e+07 |   3.33e+04 |   1.40e+05 |    2.70e+03 |    6.13e+04 |   -6.54e+03 |   4.40e-03 |   2.99e-01 |     18268.29 |    86.62 |  2532m 33s | Model saved         
   10900 |   3.87e+05 |   6.63e+02 |  -6.53e+07 |   3.32e+04 |   1.39e+05 |    2.67e+03 |    6.00e+04 |   -6.56e+03 |   4.40e-03 |   2.99e-01 |     18268.29 |    79.95 |  2530m 25s | Model saved (best)  
   10950 |   3.90e+05 |   6.46e+02 |  -6.51e+07 |   3.27e+04 |   1.39e+05 |    2.68e+03 |    6.12e+04 |   -6.54e+03 |   4.40e-03 |   2.99e-01 |     18268.29 |    86.32 |  2529m 09s | Model saved         
   11000 |   3.88e+05 |   6.81e+02 |  -6.53e+07 |   3.32e+04 |   1.39e+05 |    2.67e+03 |    6.03e+04 |   -6.56e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    79.46 |  2526m 57s | Model saved         
   11050 |   3.89e+05 |   6.33e+02 |  -6.52e+07 |   3.38e+04 |   1.37e+05 |    2.67e+03 |    6.12e+04 |   -6.54e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    89.04 |  2526m 03s | Model saved         
   11100 |   3.86e+05 |   6.71e+02 |  -6.53e+07 |   3.35e+04 |   1.36e+05 |    2.64e+03 |    6.03e+04 |   -6.56e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    79.70 |  2523m 54s | Model saved         
   11150 |   3.89e+05 |   6.39e+02 |  -6.52e+07 |   3.41e+04 |   1.37e+05 |    2.66e+03 |    6.07e+04 |   -6.54e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    86.64 |  2522m 40s | Model saved         
   11200 |   3.86e+05 |   6.71e+02 |  -6.53e+07 |   3.44e+04 |   1.36e+05 |    2.64e+03 |    6.00e+04 |   -6.56e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    79.31 |  2520m 29s | Model saved         
   11250 |   3.89e+05 |   6.42e+02 |  -6.52e+07 |   3.36e+04 |   1.36e+05 |    2.66e+03 |    6.09e+04 |   -6.54e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    86.64 |  2519m 15s | Model saved         
   11300 |   3.86e+05 |   6.74e+02 |  -6.53e+07 |   3.39e+04 |   1.35e+05 |    2.63e+03 |    5.97e+04 |   -6.56e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    79.51 |  2517m 06s | Model saved         
   11350 |   3.89e+05 |   6.34e+02 |  -6.52e+07 |   3.42e+04 |   1.36e+05 |    2.64e+03 |    5.99e+04 |   -6.54e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    86.37 |  2515m 50s | Model saved         
   11400 |   3.86e+05 |   6.80e+02 |  -6.53e+07 |   3.45e+04 |   1.35e+05 |    2.63e+03 |    5.95e+04 |   -6.56e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    79.20 |  2513m 39s | Model saved         
   11450 |   3.90e+05 |   6.56e+02 |  -6.51e+07 |   3.39e+04 |   1.36e+05 |    2.64e+03 |    6.03e+04 |   -6.54e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    86.05 |  2512m 21s | Model saved         
   11500 |   3.86e+05 |   6.78e+02 |  -6.53e+07 |   3.36e+04 |   1.34e+05 |    2.61e+03 |    5.95e+04 |   -6.56e+03 |   4.40e-03 |   2.84e-01 |     18268.29 |    79.67 |  2510m 14s | Model saved         
   11550 |   3.87e+05 |   6.38e+02 |  -6.52e+07 |   3.44e+04 |   1.34e+05 |    2.62e+03 |    6.03e+04 |   -6.54e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    86.54 |  2509m 00s | Model saved         
   11600 |   3.84e+05 |   6.38e+02 |  -6.54e+07 |   3.43e+04 |   1.32e+05 |    2.58e+03 |    5.86e+04 |   -6.56e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    80.87 |  2507m 03s | Model saved (best)  
   11650 |   3.87e+05 |   6.34e+02 |  -6.52e+07 |   3.44e+04 |   1.33e+05 |    2.60e+03 |    6.04e+04 |   -6.54e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    85.99 |  2505m 45s | Model saved         
   11700 |   3.83e+05 |   6.25e+02 |  -6.54e+07 |   3.35e+04 |   1.31e+05 |    2.57e+03 |    5.85e+04 |   -6.56e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    80.31 |  2503m 43s | Model saved (best)  
   11750 |   3.86e+05 |   6.14e+02 |  -6.52e+07 |   3.45e+04 |   1.31e+05 |    2.58e+03 |    5.97e+04 |   -6.54e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    86.43 |  2502m 29s | Model saved         
   11800 |   3.83e+05 |   6.50e+02 |  -6.54e+07 |   3.47e+04 |   1.30e+05 |    2.57e+03 |    5.87e+04 |   -6.56e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    79.67 |  2500m 23s | Model saved         
   11850 |   3.86e+05 |   6.19e+02 |  -6.52e+07 |   3.46e+04 |   1.30e+05 |    2.58e+03 |    6.00e+04 |   -6.54e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    86.35 |  2499m 08s | Model saved         
   11900 |   3.82e+05 |   6.37e+02 |  -6.54e+07 |   3.41e+04 |   1.30e+05 |    2.56e+03 |    5.81e+04 |   -6.56e+03 |   4.18e-03 |   2.84e-01 |     18268.29 |    79.36 |  2497m 01s | Model saved         
   11950 |   3.84e+05 |   5.98e+02 |  -6.52e+07 |   3.35e+04 |   1.29e+05 |    2.56e+03 |    5.94e+04 |   -6.54e+03 |   3.97e-03 |   2.84e-01 |     18268.29 |    86.68 |  2495m 48s | Model saved         
   12000 |   3.81e+05 |   6.28e+02 |  -6.54e+07 |   3.44e+04 |   1.28e+05 |    2.54e+03 |    5.82e+04 |   -6.56e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    79.75 |  2493m 44s | Model saved (best)  
   12050 |   3.84e+05 |   6.01e+02 |  -6.52e+07 |   3.55e+04 |   1.27e+05 |    2.54e+03 |    5.97e+04 |   -6.54e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    89.03 |  2492m 48s | Model saved         
   12100 |   3.80e+05 |   5.96e+02 |  -6.54e+07 |   3.54e+04 |   1.27e+05 |    2.52e+03 |    5.80e+04 |   -6.56e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    77.97 |  2490m 32s | Model saved (best)  
   12150 |   3.84e+05 |   5.99e+02 |  -6.52e+07 |   3.47e+04 |   1.27e+05 |    2.54e+03 |    5.99e+04 |   -6.54e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    81.83 |  2488m 44s | Model saved         
   12200 |   3.81e+05 |   6.25e+02 |  -6.54e+07 |   3.53e+04 |   1.26e+05 |    2.51e+03 |    5.87e+04 |   -6.56e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    74.70 |  2486m 05s | Model saved         
   12250 |   3.84e+05 |   6.11e+02 |  -6.52e+07 |   3.51e+04 |   1.27e+05 |    2.54e+03 |    5.92e+04 |   -6.54e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    81.15 |  2484m 13s | Model saved         
   12300 |   3.81e+05 |   6.15e+02 |  -6.54e+07 |   3.51e+04 |   1.26e+05 |    2.51e+03 |    5.80e+04 |   -6.56e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    74.10 |  2481m 31s | Model saved         
   12350 |   3.82e+05 |   5.78e+02 |  -6.52e+07 |   3.50e+04 |   1.25e+05 |    2.51e+03 |    5.91e+04 |   -6.54e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    80.64 |  2479m 36s | Model saved         
   12400 |   3.80e+05 |   6.13e+02 |  -6.54e+07 |   3.48e+04 |   1.25e+05 |    2.49e+03 |    5.80e+04 |   -6.56e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    74.01 |  2476m 54s | Model saved         
   12450 |   3.83e+05 |   6.00e+02 |  -6.52e+07 |   3.49e+04 |   1.25e+05 |    2.51e+03 |    5.98e+04 |   -6.54e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    81.27 |  2475m 04s | Model saved         
   12500 |   3.82e+05 |   6.43e+02 |  -6.54e+07 |   3.47e+04 |   1.26e+05 |    2.50e+03 |    5.84e+04 |   -6.56e+03 |   3.97e-03 |   2.70e-01 |     18268.29 |    74.24 |  2472m 26s | Model saved         
   12550 |   3.82e+05 |   5.91e+02 |  -6.52e+07 |   3.54e+04 |   1.24e+05 |    2.49e+03 |    5.95e+04 |   -6.54e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    81.00 |  2470m 35s | Model saved         
   12600 |   3.78e+05 |   5.78e+02 |  -6.54e+07 |   3.50e+04 |   1.22e+05 |    2.46e+03 |    5.77e+04 |   -6.56e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    74.02 |  2467m 55s | Model saved (best)  
   12650 |   3.81e+05 |   5.67e+02 |  -6.52e+07 |   3.53e+04 |   1.23e+05 |    2.48e+03 |    5.89e+04 |   -6.54e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    80.72 |  2466m 03s | Model saved         
   12700 |   3.79e+05 |   5.93e+02 |  -6.54e+07 |   3.49e+04 |   1.22e+05 |    2.46e+03 |    5.73e+04 |   -6.56e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    74.43 |  2463m 28s | Model saved         
   12750 |   3.81e+05 |   5.69e+02 |  -6.52e+07 |   3.52e+04 |   1.22e+05 |    2.47e+03 |    5.89e+04 |   -6.54e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    81.53 |  2461m 42s | Model saved         
   12800 |   3.78e+05 |   5.84e+02 |  -6.54e+07 |   3.50e+04 |   1.21e+05 |    2.44e+03 |    5.76e+04 |   -6.56e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    74.82 |  2459m 10s | Model saved         
   12850 |   3.81e+05 |   5.77e+02 |  -6.52e+07 |   3.50e+04 |   1.22e+05 |    2.46e+03 |    5.92e+04 |   -6.54e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    80.73 |  2457m 20s | Model saved         
   12900 |   3.80e+05 |   6.26e+02 |  -6.54e+07 |   3.59e+04 |   1.23e+05 |    2.46e+03 |    5.81e+04 |   -6.56e+03 |   3.77e-03 |   2.70e-01 |     18268.29 |    74.72 |  2454m 48s | Model saved         
   12950 |   3.79e+05 |   5.73e+02 |  -6.52e+07 |   3.60e+04 |   1.20e+05 |    2.44e+03 |    5.92e+04 |   -6.54e+03 |   3.58e-03 |   2.70e-01 |     18268.29 |    81.45 |  2453m 03s | Model saved         
   13000 |   3.78e+05 |   5.83e+02 |  -6.54e+07 |   3.52e+04 |   1.20e+05 |    2.43e+03 |    5.73e+04 |   -6.56e+03 |   3.58e-03 |   2.57e-01 |     18268.29 |    74.95 |  2450m 34s | Model saved (best)  
   13050 |   3.80e+05 |   5.71e+02 |  -6.52e+07 |   3.60e+04 |   1.20e+05 |    2.44e+03 |    5.90e+04 |   -6.54e+03 |   3.58e-03 |   2.57e-01 |     18268.29 |    83.09 |  2449m 00s | Model saved         
   13100 |   3.77e+05 |   5.75e+02 |  -6.54e+07 |   3.65e+04 |   1.19e+05 |    2.42e+03 |    5.72e+04 |   -6.56e+03 |   3.58e-03 |   2.57e-01 |     18268.29 |    74.35 |  2446m 28s | Model saved (best)  
   13150 |   3.79e+05 |   5.69e+02 |  -6.52e+07 |   3.62e+04 |   1.19e+05 |    2.43e+03 |    6.01e+04 |   -6.54e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    81.48 |  2444m 44s | Model saved         
   13200 |   3.76e+05 |   5.66e+02 |  -6.54e+07 |   3.59e+04 |   1.17e+05 |    2.40e+03 |    5.73e+04 |   -6.57e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    74.74 |  2442m 16s | Model saved (best)  
   13250 |   3.79e+05 |   5.68e+02 |  -6.52e+07 |   3.63e+04 |   1.19e+05 |    2.43e+03 |    5.93e+04 |   -6.54e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    80.86 |  2440m 28s | Model saved         
   13300 |   3.75e+05 |   5.47e+02 |  -6.55e+07 |   3.62e+04 |   1.17e+05 |    2.39e+03 |    5.74e+04 |   -6.57e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    74.41 |  2437m 59s | Model saved (best)  
   13350 |   3.79e+05 |   5.49e+02 |  -6.52e+07 |   3.67e+04 |   1.18e+05 |    2.41e+03 |    5.87e+04 |   -6.55e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    81.12 |  2436m 14s | Model saved         
   13400 |   3.74e+05 |   5.45e+02 |  -6.55e+07 |   3.64e+04 |   1.16e+05 |    2.38e+03 |    5.70e+04 |   -6.57e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    74.14 |  2433m 43s | Model saved         
   13450 |   3.79e+05 |   5.61e+02 |  -6.52e+07 |   3.59e+04 |   1.17e+05 |    2.41e+03 |    5.89e+04 |   -6.55e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    81.32 |  2432m 00s | Model saved         
   13500 |   3.75e+05 |   5.74e+02 |  -6.54e+07 |   3.63e+04 |   1.16e+05 |    2.38e+03 |    5.75e+04 |   -6.56e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    74.34 |  2429m 32s | Model saved         
   13550 |   3.78e+05 |   5.53e+02 |  -6.52e+07 |   3.60e+04 |   1.16e+05 |    2.39e+03 |    5.93e+04 |   -6.55e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    81.74 |  2427m 51s | Model saved         
   13600 |   3.76e+05 |   5.70e+02 |  -6.54e+07 |   3.59e+04 |   1.16e+05 |    2.38e+03 |    5.71e+04 |   -6.57e+03 |   3.41e-03 |   2.57e-01 |     18268.29 |    74.79 |  2425m 27s | Model saved         
   13650 |   3.77e+05 |   5.42e+02 |  -6.53e+07 |   3.66e+04 |   1.15e+05 |    2.38e+03 |    5.85e+04 |   -6.55e+03 |   3.24e-03 |   2.57e-01 |     18268.29 |    81.31 |  2423m 44s | Model saved         
   13700 |   3.74e+05 |   5.31e+02 |  -6.55e+07 |   3.61e+04 |   1.14e+05 |    2.34e+03 |    5.69e+04 |   -6.57e+03 |   3.24e-03 |   2.57e-01 |     18268.29 |    74.54 |  2421m 19s | Model saved (best)  
   13750 |   3.76e+05 |   5.32e+02 |  -6.53e+07 |   3.64e+04 |   1.14e+05 |    2.37e+03 |    5.84e+04 |   -6.55e+03 |   3.24e-03 |   2.57e-01 |     18268.29 |    81.74 |  2419m 40s | Model saved         
   13800 |   3.73e+05 |   5.29e+02 |  -6.55e+07 |   3.58e+04 |   1.13e+05 |    2.34e+03 |    5.66e+04 |   -6.57e+03 |   3.24e-03 |   2.57e-01 |     18268.29 |    75.07 |  2417m 19s | Model saved (best)  
   13850 |   3.76e+05 |   5.49e+02 |  -6.53e+07 |   3.63e+04 |   1.15e+05 |    2.37e+03 |    5.84e+04 |   -6.55e+03 |   3.07e-03 |   2.57e-01 |     18268.29 |    80.84 |  2415m 34s | Model saved         
   13900 |   3.73e+05 |   5.39e+02 |  -6.55e+07 |   3.65e+04 |   1.12e+05 |    2.33e+03 |    5.63e+04 |   -6.57e+03 |   3.07e-03 |   2.57e-01 |     18268.29 |    74.40 |  2413m 10s | Model saved         
   13950 |   3.76e+05 |   5.39e+02 |  -6.53e+07 |   3.62e+04 |   1.13e+05 |    2.35e+03 |    5.85e+04 |   -6.55e+03 |   3.07e-03 |   2.57e-01 |     18268.29 |    81.13 |  2411m 28s | Model saved         
   14000 |   3.72e+05 |   5.25e+02 |  -6.55e+07 |   3.61e+04 |   1.12e+05 |    2.32e+03 |    5.65e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    74.49 |  2409m 05s | Model saved (best)  
   14050 |   3.75e+05 |   5.28e+02 |  -6.53e+07 |   3.72e+04 |   1.12e+05 |    2.34e+03 |    5.83e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    84.72 |  2407m 45s | Model saved         
   14100 |   3.73e+05 |   5.37e+02 |  -6.55e+07 |   3.72e+04 |   1.12e+05 |    2.32e+03 |    5.64e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    73.93 |  2405m 19s | Model saved         
   14150 |   3.76e+05 |   5.44e+02 |  -6.53e+07 |   3.72e+04 |   1.12e+05 |    2.34e+03 |    5.84e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.13 |  2403m 38s | Model saved         
   14200 |   3.73e+05 |   5.39e+02 |  -6.55e+07 |   3.77e+04 |   1.11e+05 |    2.32e+03 |    5.63e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    75.01 |  2401m 20s | Model saved         
   14250 |   3.75e+05 |   5.38e+02 |  -6.53e+07 |   3.69e+04 |   1.12e+05 |    2.33e+03 |    5.81e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.13 |  2399m 38s | Model saved         
   14300 |   3.72e+05 |   5.29e+02 |  -6.55e+07 |   3.67e+04 |   1.10e+05 |    2.30e+03 |    5.63e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    74.05 |  2397m 15s | Model saved         
   14350 |   3.74e+05 |   5.27e+02 |  -6.53e+07 |   3.75e+04 |   1.11e+05 |    2.31e+03 |    5.85e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.75 |  2395m 38s | Model saved         
   14400 |   3.72e+05 |   5.26e+02 |  -6.55e+07 |   3.67e+04 |   1.10e+05 |    2.30e+03 |    5.62e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    74.99 |  2393m 21s | Model saved         
   14450 |   3.74e+05 |   5.29e+02 |  -6.53e+07 |   3.68e+04 |   1.11e+05 |    2.32e+03 |    5.85e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.78 |  2391m 45s | Model saved         
   14500 |   3.72e+05 |   5.40e+02 |  -6.55e+07 |   3.71e+04 |   1.10e+05 |    2.30e+03 |    5.66e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    74.82 |  2389m 28s | Model saved         
   14550 |   3.74e+05 |   5.19e+02 |  -6.53e+07 |   3.78e+04 |   1.10e+05 |    2.30e+03 |    5.81e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.81 |  2387m 52s | Model saved         
   14600 |   3.73e+05 |   5.50e+02 |  -6.55e+07 |   3.71e+04 |   1.10e+05 |    2.30e+03 |    5.64e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    75.28 |  2385m 38s | Model saved         
   14650 |   3.74e+05 |   5.30e+02 |  -6.53e+07 |   3.72e+04 |   1.10e+05 |    2.31e+03 |    5.81e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.22 |  2383m 59s | Model saved         
   14700 |   3.71e+05 |   5.18e+02 |  -6.55e+07 |   3.61e+04 |   1.08e+05 |    2.28e+03 |    5.62e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    74.92 |  2381m 44s | Model saved (best)  
   14750 |   3.74e+05 |   5.10e+02 |  -6.53e+07 |   3.69e+04 |   1.09e+05 |    2.29e+03 |    5.81e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.10 |  2380m 05s | Model saved         
   14800 |   3.72e+05 |   5.44e+02 |  -6.55e+07 |   3.75e+04 |   1.09e+05 |    2.28e+03 |    5.63e+04 |   -6.57e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    74.44 |  2377m 48s | Model saved         
   14850 |   3.74e+05 |   5.49e+02 |  -6.53e+07 |   3.80e+04 |   1.09e+05 |    2.30e+03 |    5.85e+04 |   -6.55e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    81.36 |  2376m 10s | Model saved         
   14900 |   3.77e+05 |   6.26e+02 |  -6.54e+07 |   3.76e+04 |   1.12e+05 |    2.32e+03 |    5.79e+04 |   -6.56e+03 |   3.07e-03 |   2.44e-01 |     18268.29 |    74.73 |  2373m 55s | Model saved         
