Training started at 2025-05-29 14:25:59
Logging training to saved/almgren_NAISnet_Sine\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | NAISnet                   |
| Depth                     | 9                         |
| Width                     | 256                       |
| Activation                | Sine                      |
| T                         | 1.0                       |
| N                         | 200                       |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
    3000 |     1.06e-04 |     7.20e-05 |     1.83e-05 |     1.62e-05 |   3.28e-04 |        27.07 |     2.55 |   2m 02s | Model saved (best)  
    3050 |     1.74e-04 |     1.11e-04 |     3.73e-05 |     2.58e-05 |   3.28e-04 |        27.07 |     2.90 |   1m 59s | Model saved         
    3100 |     1.05e-04 |     8.50e-05 |     9.17e-06 |     1.11e-05 |   2.62e-04 |        27.07 |     2.62 |   1m 56s | Model saved (best)  
    3150 |     4.17e-04 |     4.03e-04 |     5.48e-06 |     8.80e-06 |   2.62e-04 |        27.07 |     2.70 |   1m 53s | Model saved         
    3200 |     1.07e-04 |     7.65e-05 |     1.47e-05 |     1.56e-05 |   2.62e-04 |        27.07 |     2.54 |   1m 49s | Model saved         
    3250 |     9.93e-05 |     6.93e-05 |     1.53e-05 |     1.47e-05 |   2.62e-04 |        27.07 |     2.61 |   1m 46s | Model saved (best)  
    3300 |     8.51e-05 |     5.53e-05 |     1.47e-05 |     1.50e-05 |   2.62e-04 |        27.07 |     2.54 |   1m 43s | Model saved (best)  
    3350 |     1.53e-04 |     1.08e-04 |     2.36e-05 |     2.18e-05 |   2.10e-04 |        27.07 |     2.48 |   1m 39s | Model saved         
    3400 |     4.84e-04 |     4.64e-04 |     8.24e-06 |     1.20e-05 |   2.10e-04 |        27.07 |     2.51 |   1m 36s | Model saved         
    3450 |     1.39e-04 |     1.04e-04 |     1.68e-05 |     1.83e-05 |   2.10e-04 |        27.07 |     2.39 |   1m 33s | Model saved         
    3500 |     9.50e-05 |     6.71e-05 |     1.15e-05 |     1.64e-05 |   2.10e-04 |        27.07 |     2.35 |   1m 30s | Model saved         
    3550 |     7.09e-05 |     4.64e-05 |     1.15e-05 |     1.30e-05 |   2.10e-04 |        27.07 |     2.48 |   1m 26s | Model saved (best)  
    3600 |     1.55e-04 |     1.30e-04 |     9.59e-06 |     1.55e-05 |   1.68e-04 |        27.07 |     2.38 |   1m 23s | Model saved         
    3650 |     1.16e-04 |     1.01e-04 |     7.09e-06 |     8.82e-06 |   1.68e-04 |        27.07 |     2.55 |   1m 20s | Model saved         
    3700 |     5.98e-05 |     4.39e-05 |     6.11e-06 |     9.74e-06 |   1.68e-04 |        27.07 |     2.54 |   1m 17s | Model saved (best)  
    3750 |     1.77e-04 |     1.46e-04 |     1.27e-05 |     1.87e-05 |   1.68e-04 |        27.07 |     2.63 |   1m 14s | Model saved         
    3800 |     1.13e-04 |     9.01e-05 |     9.32e-06 |     1.31e-05 |   1.68e-04 |        27.07 |     2.59 |   1m 11s | Model saved         
    3850 |     7.10e-04 |     6.41e-04 |     3.07e-05 |     3.87e-05 |   1.68e-04 |        27.07 |     2.77 |   1m 08s | Model saved         
    3900 |     9.95e-05 |     7.50e-05 |     9.00e-06 |     1.55e-05 |   1.68e-04 |        27.07 |     2.85 |   1m 05s | Model saved         
